                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.76825,                0.90667,                 1.2224,                0.84833,                 1.0211,                 1.2497,                0.78513,                0.68639,                  0.775,                 0.6225,                0.74365,                 0.7886,                 1.2015,                0.79689,                0.89801,                 1.2369,              0.0007063,              0.0007063,              0.0007063
                     92,                0.78071,                0.91221,                 1.2234,                0.85166,                 1.0348,                 1.2473,                0.76871,                 0.7273,                0.79405,                0.63536,                0.74414,                0.75634,                 1.2059,                0.80111,                0.84975,                  1.239,               0.000703,               0.000703,               0.000703
                     93,                0.76127,                0.89108,                  1.211,                0.84367,                 1.0091,                 1.2443,                0.76423,                0.70739,                0.78796,                0.63239,                0.74107,                0.77647,                 1.1979,                0.79647,                 0.8757,                 1.2319,              0.0006997,              0.0006997,              0.0006997
                     94,                0.76354,                0.89589,                 1.2142,                0.83528,                 1.0112,                 1.2456,                0.76324,                0.70208,                0.78172,                0.62526,                0.73264,                0.77435,                 1.1892,                0.79229,                0.87378,                 1.2309,              0.0006964,              0.0006964,              0.0006964
                     95,                0.76316,                0.90701,                 1.2181,                0.83457,                 1.0154,                  1.248,                0.76579,                0.68737,                0.77839,                0.62556,                0.73397,                0.77643,                 1.1923,                 0.7914,                 0.8671,                 1.2266,              0.0006931,              0.0006931,              0.0006931
                     96,                0.75309,                0.87089,                 1.2046,                0.82502,                0.98485,                  1.235,                0.71762,                0.74539,                0.78189,                0.62536,                0.73336,                0.76125,                 1.1923,                0.79069,                0.86572,                 1.2376,              0.0006898,              0.0006898,              0.0006898
                     97,                0.76159,                0.89429,                 1.2123,                0.83657,                 1.0156,                 1.2397,                  0.789,                0.70033,                 0.7945,                0.63673,                0.72998,                0.75753,                 1.1918,                0.79013,                0.84417,                 1.2267,              0.0006865,              0.0006865,              0.0006865
                     98,                0.74779,                0.87965,                  1.204,                0.81935,                 1.0002,                 1.2333,                0.77123,                0.71568,                0.79848,                0.64096,                0.72613,                0.75454,                 1.1902,                0.78854,                0.83376,                 1.2318,              0.0006832,              0.0006832,              0.0006832
                     99,                0.77588,                0.89148,                 1.2202,                 0.8533,                 1.0117,                 1.2519,                0.78925,                0.70562,                0.78862,                0.63196,                0.73332,                0.76417,                 1.1926,                0.79253,                0.83927,                 1.2292,              0.0006799,              0.0006799,              0.0006799
                    100,                0.75027,                 0.8747,                 1.2104,                0.82637,                0.98715,                 1.2447,                0.75263,                0.72398,                0.78447,                0.62991,                0.72927,                0.76617,                 1.1912,                0.78871,                0.85198,                 1.2238,              0.0006766,              0.0006766,              0.0006766
                    101,                0.75158,                0.86373,                 1.2025,                0.82559,                0.97875,                 1.2343,                0.78223,                0.70097,                0.79741,                0.64165,                0.73256,                0.76426,                 1.1989,                0.79007,                0.83801,                 1.2255,              0.0006733,              0.0006733,              0.0006733
                    102,                0.75361,                0.87031,                 1.2078,                0.82782,                0.97926,                 1.2363,                0.77235,                0.70271,                 0.7963,                0.63999,                0.72696,                0.75724,                 1.1908,                0.78793,                0.84073,                 1.2244,                0.00067,                0.00067,                0.00067
                    103,                0.73288,                0.85231,                 1.1953,                0.80067,                0.96754,                 1.2219,                0.77883,                0.71019,                0.79638,                0.64465,                0.73163,                  0.756,                 1.1907,                0.78216,                0.84081,                 1.2225,              0.0006667,              0.0006667,              0.0006667
                    104,                0.74401,                0.86431,                 1.2002,                0.81382,                0.97525,                 1.2292,                0.75962,                0.73187,                0.79914,                0.64809,                0.72642,                0.73994,                 1.1891,                 0.7829,                0.82661,                 1.2153,              0.0006634,              0.0006634,              0.0006634
                    105,                0.73834,                0.86199,                 1.1944,                0.81428,                0.96748,                 1.2258,                0.78199,                0.72395,                0.79989,                0.64626,                 0.7338,                0.74098,                 1.1901,                0.78418,                0.83621,                 1.2189,              0.0006601,              0.0006601,              0.0006601
                    106,                0.74155,                0.83934,                 1.1966,                0.80836,                0.94136,                 1.2281,                0.73512,                0.75434,                0.80477,                0.65186,                0.73157,                0.72535,                 1.1883,                0.77922,                0.83113,                 1.2163,              0.0006568,              0.0006568,              0.0006568
                    107,                0.74257,                0.85002,                 1.1947,                0.81544,                0.94802,                  1.226,                0.79767,                0.72471,                0.80786,                0.65146,                0.72897,                0.71679,                 1.1792,                0.77814,                 0.8081,                 1.2097,              0.0006535,              0.0006535,              0.0006535
                    108,                0.74055,                0.84299,                 1.1975,                0.81487,                 0.9462,                 1.2278,                 0.7844,                0.72524,                0.80377,                0.64477,                0.73353,                0.73457,                  1.186,                0.79472,                0.81447,                 1.2247,              0.0006502,              0.0006502,              0.0006502
                    109,                0.74677,                0.85204,                 1.1955,                0.81867,                0.95843,                 1.2254,                0.74743,                0.74763,                0.80117,                0.64227,                0.72499,                0.73958,                 1.1821,                 0.7924,                0.82863,                 1.2203,              0.0006469,              0.0006469,              0.0006469
                    110,                0.74004,                0.84649,                 1.1871,                0.81163,                0.94937,                 1.2193,                0.78282,                0.71715,                0.80226,                0.64644,                0.72637,                0.73839,                  1.183,                0.78467,                0.82911,                 1.2156,              0.0006436,              0.0006436,              0.0006436
                    111,                0.73144,                0.82971,                 1.1831,                0.80514,                0.94604,                 1.2143,                0.74765,                0.74868,                0.80938,                0.65239,                0.72914,                0.74239,                 1.1856,                0.78165,                0.82757,                 1.2135,              0.0006403,              0.0006403,              0.0006403
                    112,                0.73975,                0.82925,                 1.1918,                0.81483,                0.93738,                   1.22,                0.79323,                0.72609,                0.80625,                0.64987,                0.73111,                0.74774,                 1.1905,                0.77965,                 0.8381,                 1.2212,               0.000637,               0.000637,               0.000637
                    113,                0.73235,                0.82728,                 1.1911,                0.80685,                0.93759,                   1.22,                0.79053,                0.70849,                0.80142,                0.64759,                0.72588,                0.74334,                 1.1867,                0.77852,                0.83991,                 1.2203,              0.0006337,              0.0006337,              0.0006337
                    114,                 0.7367,                0.82987,                  1.184,                0.80886,                0.93856,                 1.2176,                0.77886,                 0.7255,                 0.8067,                0.64991,                0.73052,                0.73843,                 1.1859,                0.78142,                0.83315,                  1.218,              0.0006304,              0.0006304,              0.0006304
                    115,                0.71837,                0.81798,                 1.1788,                 0.7889,                0.92573,                 1.2107,                0.80574,                0.70612,                0.80126,                0.64842,                0.72293,                0.73454,                 1.1776,                0.77104,                0.82842,                 1.2065,              0.0006271,              0.0006271,              0.0006271
                    116,                0.72144,                0.81781,                 1.1853,                0.79342,                0.92032,                 1.2147,                0.76841,                0.74097,                0.80807,                0.65682,                0.71645,                0.72989,                 1.1686,                0.77388,                0.79237,                 1.2067,              0.0006238,              0.0006238,              0.0006238
                    117,                  0.726,                0.81257,                 1.1807,                0.79479,                0.92506,                 1.2083,                0.76859,                0.74108,                0.80749,                0.65588,                 0.7166,                 0.7291,                 1.1724,                0.77682,                0.81068,                 1.2078,              0.0006205,              0.0006205,              0.0006205
                    118,                0.72772,                0.80823,                 1.1846,                0.80037,                0.90633,                 1.2157,                0.78469,                0.74529,                0.80966,                0.65549,                0.71847,                0.72133,                 1.1739,                0.77736,                0.80534,                  1.212,              0.0006172,              0.0006172,              0.0006172
                    119,                0.71552,                0.79558,                 1.1775,                0.78796,                0.90042,                 1.2102,                0.78691,                0.73317,                0.80794,                0.65065,                0.72943,                0.71572,                 1.1826,                0.78541,                0.80035,                 1.2246,              0.0006139,              0.0006139,              0.0006139
                    120,                0.71637,                0.80859,                 1.1786,                0.78636,                0.90887,                 1.2087,                0.78592,                0.75437,                0.81556,                 0.6587,                0.72823,                0.71636,                 1.1856,                 0.7844,                0.77852,                  1.229,              0.0006106,              0.0006106,              0.0006106
                    121,                0.71791,                0.81062,                 1.1735,                0.78641,                0.91054,                 1.2036,                0.78266,                 0.7414,                0.81508,                   0.66,                0.72174,                0.72124,                 1.1765,                0.78162,                0.77268,                 1.2265,              0.0006073,              0.0006073,              0.0006073
                    122,                 0.7271,                0.81903,                 1.1854,                0.80123,                0.93636,                 1.2151,                0.77147,                  0.743,                0.81062,                0.65627,                0.71762,                0.71113,                 1.1791,                0.76801,                0.78978,                 1.2178,               0.000604,               0.000604,               0.000604
                    123,                0.71468,                0.80117,                 1.1781,                0.79131,                0.90047,                 1.2115,                0.79261,                0.71903,                0.80837,                0.65579,                0.71965,                0.71811,                 1.1764,                0.77728,                0.79054,                   1.22,              0.0006007,              0.0006007,              0.0006007
                    124,                0.72325,                0.79625,                 1.1752,                0.79238,                0.88528,                 1.2081,                0.82023,                0.71875,                0.81615,                 0.6627,                0.72044,                0.71193,                  1.178,                0.77354,                0.79706,                 1.2208,              0.0005974,              0.0005974,              0.0005974
                    125,                0.70812,                0.76552,                 1.1702,                0.78093,                 0.8667,                 1.2043,                0.77441,                0.74797,                0.81577,                0.66025,                0.71858,                0.71212,                 1.1733,                0.77622,                0.79487,                 1.2154,              0.0005941,              0.0005941,              0.0005941
                    126,                0.70628,                0.78827,                  1.165,                0.77696,                0.87956,                 1.1939,                0.82402,                0.71749,                0.81918,                0.65972,                0.72275,                0.70959,                 1.1832,                0.78055,                 0.7818,                  1.222,              0.0005908,              0.0005908,              0.0005908
                    127,                0.70505,                 0.7834,                 1.1683,                0.77358,                0.87449,                 1.1977,                0.81236,                 0.7286,                0.81816,                0.66151,                 0.7156,                0.70626,                 1.1773,                0.77196,                0.78665,                 1.2125,              0.0005875,              0.0005875,              0.0005875
                    128,                0.69808,                0.76182,                 1.1631,                0.77009,                0.85242,                 1.1902,                0.78538,                0.74972,                0.81558,                0.65824,                0.71366,                0.71357,                 1.1733,                0.77647,                0.79816,                  1.209,              0.0005842,              0.0005842,              0.0005842
                    129,                0.70956,                 0.7837,                 1.1712,                0.77941,                0.87664,                 1.2014,                0.76611,                0.74448,                0.81188,                0.65645,                0.71605,                0.71801,                  1.174,                0.77351,                0.81761,                 1.2143,              0.0005809,              0.0005809,              0.0005809
                    130,                0.70154,                0.78015,                 1.1644,                0.77069,                0.86619,                 1.1949,                0.76704,                0.76102,                0.81416,                0.65682,                0.72317,                0.71724,                 1.1799,                0.77881,                0.80284,                 1.2166,              0.0005776,              0.0005776,              0.0005776
                    131,                0.70004,                0.76607,                 1.1619,                0.77053,                0.85602,                  1.194,                0.79849,                0.73758,                 0.8177,                0.66008,                0.72177,                0.70831,                 1.1798,                0.77765,                0.80055,                 1.2187,              0.0005743,              0.0005743,              0.0005743
                    132,                0.70183,                0.76592,                 1.1624,                 0.7736,                0.85724,                 1.1964,                0.77552,                0.74291,                0.81927,                0.65996,                0.72572,                0.70674,                 1.1839,                0.77777,                0.78959,                  1.222,               0.000571,               0.000571,               0.000571
                    133,                0.69789,                0.77172,                  1.163,                0.77014,                0.86062,                 1.1953,                0.78489,                0.74219,                0.81903,                0.66183,                0.72612,                0.70182,                 1.1808,                0.77687,                0.80977,                 1.2155,              0.0005677,              0.0005677,              0.0005677
                    134,                 0.6984,                0.75885,                 1.1617,                0.76801,                0.85158,                 1.1899,                0.76721,                0.75351,                 0.8142,                 0.6579,                0.72256,                0.70371,                 1.1785,                 0.7774,                0.80992,                 1.2182,              0.0005644,              0.0005644,              0.0005644
                    135,                0.70573,                0.76409,                 1.1661,                0.77223,                0.85829,                 1.1939,                0.75535,                0.75134,                0.81319,                0.65659,                0.72055,                0.71029,                 1.1775,                0.77803,                0.80721,                 1.2183,              0.0005611,              0.0005611,              0.0005611
                    136,                 0.6901,                0.73608,                 1.1539,                0.76072,                0.82775,                 1.1863,                0.83273,                0.70384,                0.81683,                0.65945,                0.71491,                0.70242,                 1.1759,                0.77249,                0.80835,                 1.2113,              0.0005578,              0.0005578,              0.0005578
                    137,                0.69594,                0.76478,                 1.1533,                0.76332,                0.85277,                 1.1818,                0.81871,                0.70804,                0.81505,                0.65889,                0.70806,                0.70027,                  1.173,                0.77714,                  0.793,                 1.2191,              0.0005545,              0.0005545,              0.0005545
                    138,                0.69292,                0.75298,                 1.1575,                0.76377,                0.84125,                 1.1895,                 0.8347,                 0.7092,                0.81623,                0.65737,                0.71099,                0.69837,                 1.1754,                 0.7756,                 0.8005,                 1.2222,              0.0005512,              0.0005512,              0.0005512
                    139,                0.68708,                0.74371,                  1.156,                0.75422,                0.83556,                 1.1857,                0.82016,                0.70944,                 0.8135,                0.65681,                0.71252,                0.70702,                 1.1781,                0.77242,                0.80567,                 1.2179,              0.0005479,              0.0005479,              0.0005479
                    140,                0.67715,                0.73914,                 1.1447,                0.74717,                0.82979,                 1.1753,                0.81922,                  0.723,                0.81997,                0.66194,                0.70993,                  0.697,                 1.1739,                0.77125,                0.77648,                 1.2191,              0.0005446,              0.0005446,              0.0005446
                    141,                0.69818,                0.74317,                  1.151,                0.77027,                0.83717,                 1.1763,                0.78215,                 0.7503,                0.81999,                0.66569,                0.71587,                0.69636,                  1.177,                0.77191,                0.79693,                 1.2179,              0.0005413,              0.0005413,              0.0005413
                    142,                0.68467,                0.73803,                 1.1471,                0.75364,                0.82816,                 1.1743,                 0.8184,                0.72147,                0.82342,                0.66653,                0.71513,                0.69847,                 1.1739,                0.76786,                0.79391,                 1.2107,               0.000538,               0.000538,               0.000538
                    143,                0.68631,                0.74363,                 1.1497,                0.75848,                0.83294,                 1.1781,                0.84933,                0.70367,                0.82296,                0.66761,                 0.7143,                0.69336,                 1.1734,                0.76764,                0.79687,                 1.2076,              0.0005347,              0.0005347,              0.0005347
                    144,                0.68508,                0.74591,                 1.1531,                0.75543,                0.83756,                  1.181,                0.80236,                0.74883,                0.82274,                0.66743,                0.71331,                0.69338,                 1.1712,                0.77065,                0.78734,                 1.2059,              0.0005314,              0.0005314,              0.0005314
                    145,                0.68998,                0.73873,                 1.1471,                0.76182,                 0.8307,                 1.1732,                0.84379,                0.73265,                0.82704,                0.66779,                 0.7169,                0.69063,                 1.1746,                0.76968,                0.78032,                 1.2082,              0.0005281,              0.0005281,              0.0005281
                    146,                0.68151,                 0.7254,                 1.1423,                0.75311,                 0.8175,                 1.1723,                0.79335,                0.74902,                0.82173,                0.66661,                0.71534,                 0.6892,                 1.1728,                 0.7678,                0.78639,                  1.207,              0.0005248,              0.0005248,              0.0005248
                    147,                0.68813,                0.73922,                 1.1514,                0.75849,                0.82752,                 1.1804,                0.82288,                0.72299,                 0.8238,                 0.6694,                0.71657,                0.68928,                 1.1761,                0.76426,                0.78806,                 1.2063,              0.0005215,              0.0005215,              0.0005215
                    148,                  0.679,                  0.735,                 1.1414,                0.74451,                 0.8206,                 1.1671,                0.80407,                0.75649,                0.82815,                0.67098,                0.71721,                0.68449,                 1.1752,                0.77001,                0.77791,                 1.2101,              0.0005182,              0.0005182,              0.0005182
                    149,                0.67806,                0.73292,                 1.1443,                0.74754,                0.82511,                 1.1746,                0.80058,                0.74845,                0.82466,                0.66802,                0.71814,                0.68649,                 1.1745,                0.76804,                0.78505,                 1.2069,              0.0005149,              0.0005149,              0.0005149
                    150,                0.67761,                0.71589,                  1.145,                0.74467,                0.79701,                 1.1745,                0.82642,                0.75183,                0.82737,                0.66876,                0.71853,                0.68892,                 1.1761,                0.76849,                 0.7788,                 1.2049,              0.0005116,              0.0005116,              0.0005116
                    151,                0.66534,                0.71313,                 1.1344,                0.73339,                0.79415,                 1.1643,                 0.8249,                0.75027,                0.82786,                0.66831,                0.71532,                0.68493,                 1.1735,                 0.7761,                0.77162,                 1.2109,              0.0005083,              0.0005083,              0.0005083
                    152,                0.67422,                0.70911,                 1.1349,                0.73918,                0.78888,                 1.1635,                0.81196,                0.74096,                0.82841,                0.67048,                0.71659,                0.68021,                 1.1708,                0.77695,                0.77025,                 1.2111,               0.000505,               0.000505,               0.000505
                    153,                0.68166,                0.72462,                 1.1462,                0.74894,                0.80971,                 1.1756,                0.81455,                0.75397,                0.82886,                0.67077,                0.71261,                0.68086,                 1.1668,                0.76676,                  0.778,                 1.2045,              0.0005017,              0.0005017,              0.0005017
                    154,                0.67476,                0.72293,                  1.144,                0.74302,                0.80269,                 1.1721,                0.80082,                0.75229,                0.82913,                0.67324,                0.71004,                0.67965,                  1.167,                0.76162,                0.78489,                 1.2014,              0.0004984,              0.0004984,              0.0004984
                    155,                0.66963,                0.71388,                 1.1299,                0.74094,                 0.7931,                 1.1613,                0.81449,                0.74836,                0.82815,                0.67389,                0.70916,                0.67747,                 1.1674,                0.76512,                0.77859,                 1.2066,              0.0004951,              0.0004951,              0.0004951
                    156,                0.66993,                 0.7035,                 1.1329,                0.73697,                0.78427,                  1.164,                 0.8298,                0.73121,                0.82559,                0.67076,                0.70959,                0.68257,                 1.1697,                0.76535,                0.79289,                 1.2084,              0.0004918,              0.0004918,              0.0004918
                    157,                0.67317,                0.70815,                 1.1374,                0.74075,                0.78599,                 1.1667,                0.81361,                0.74799,                0.82631,                0.67266,                0.70604,                0.68008,                 1.1663,                 0.7618,                0.79041,                 1.2054,              0.0004885,              0.0004885,              0.0004885
                    158,                0.66225,                0.69834,                 1.1322,                0.72956,                0.77839,                 1.1607,                0.82201,                 0.7428,                0.82726,                0.67185,                 0.7063,                 0.6782,                 1.1672,                 0.7588,                0.79869,                 1.2017,              0.0004852,              0.0004852,              0.0004852
                    159,                0.67014,                0.69476,                 1.1407,                0.73277,                0.77212,                 1.1691,                0.79872,                0.74965,                0.82535,                 0.6713,                0.70627,                0.68557,                 1.1685,                0.76138,                0.79958,                 1.2072,              0.0004819,              0.0004819,              0.0004819
                    160,                0.67169,                0.70319,                 1.1354,                0.74484,                0.78767,                  1.168,                0.81361,                0.75014,                0.82725,                0.67115,                0.70876,                 0.6868,                  1.169,                0.76488,                0.80127,                 1.2097,              0.0004786,              0.0004786,              0.0004786
                    161,                0.66417,                0.69095,                 1.1315,                0.73456,                 0.7814,                 1.1596,                0.80638,                0.75509,                 0.8288,                0.67076,                0.70849,                0.68166,                 1.1678,                0.76511,                0.79362,                 1.2112,              0.0004753,              0.0004753,              0.0004753
                    162,                0.65685,                0.68805,                 1.1227,                0.72587,                0.77014,                 1.1518,                0.80968,                0.74287,                 0.8265,                0.67042,                 0.7112,                0.68209,                 1.1707,                0.76619,                0.79655,                 1.2115,               0.000472,               0.000472,               0.000472
                    163,                0.66164,                0.69656,                 1.1326,                0.73122,                0.78231,                 1.1627,                0.81356,                0.74103,                0.82637,                0.67056,                0.70879,                0.68152,                 1.1665,                0.76681,                0.79289,                 1.2082,              0.0004687,              0.0004687,              0.0004687
                    164,                0.65817,                0.68409,                 1.1272,                0.72583,                0.76698,                 1.1546,                0.80877,                0.73964,                0.82509,                0.66987,                0.70889,                0.68227,                 1.1661,                0.76861,                0.79243,                  1.211,              0.0004654,              0.0004654,              0.0004654
                    165,                0.66526,                0.69201,                 1.1322,                0.73135,                0.77286,                  1.164,                0.78232,                0.76173,                0.83126,                0.67279,                0.71082,                0.68066,                 1.1663,                0.77176,                0.78184,                  1.212,              0.0004621,              0.0004621,              0.0004621
                    166,                0.66235,                0.69958,                 1.1269,                 0.7276,                0.79775,                 1.1555,                0.82793,                0.73601,                0.83638,                0.67506,                0.71404,                0.67529,                 1.1708,                0.77313,                0.77676,                 1.2106,              0.0004588,              0.0004588,              0.0004588
                    167,                0.65585,                0.69142,                 1.1263,                0.72324,                0.76928,                  1.154,                0.80615,                0.76125,                0.83858,                0.67507,                  0.713,                0.67445,                 1.1691,                0.77296,                 0.7727,                 1.2082,              0.0004555,              0.0004555,              0.0004555
                    168,                0.64577,                0.66621,                 1.1176,                0.71196,                0.74111,                 1.1476,                 0.8183,                0.74834,                0.83827,                 0.6746,                0.71216,                0.67317,                 1.1678,                0.77202,                0.76946,                 1.2097,              0.0004522,              0.0004522,              0.0004522
                    169,                 0.6481,                0.67632,                 1.1239,                0.71558,                0.76009,                 1.1514,                0.81817,                0.75633,                0.83874,                0.67453,                0.71037,                0.67233,                 1.1686,                0.76763,                0.76698,                 1.2111,              0.0004489,              0.0004489,              0.0004489
                    170,                0.64796,                0.67901,                  1.125,                0.71437,                0.75489,                 1.1551,                0.79687,                 0.7707,                0.83871,                0.67549,                0.71308,                0.67063,                  1.171,                0.76921,                 0.7619,                 1.2109,              0.0004456,              0.0004456,              0.0004456
                    171,                0.65422,                0.67073,                 1.1224,                0.71975,                0.74934,                 1.1523,                0.80017,                0.76235,                0.83882,                0.67522,                 0.7157,                0.67157,                 1.1736,                0.77055,                0.76653,                 1.2118,              0.0004423,              0.0004423,              0.0004423
                    172,                0.65136,                0.67385,                 1.1224,                0.71919,                0.74456,                 1.1533,                 0.7972,                0.75893,                0.83568,                0.67436,                0.71761,                0.67212,                 1.1738,                0.76835,                0.78529,                 1.2111,               0.000439,               0.000439,               0.000439
                    173,                0.65719,                0.67314,                 1.1267,                 0.7255,                0.75132,                 1.1562,                0.81757,                0.74683,                0.83889,                0.67685,                0.71791,                0.67203,                 1.1738,                 0.7719,                0.77474,                 1.2123,              0.0004357,              0.0004357,              0.0004357
                    174,                0.64974,                0.67802,                 1.1222,                0.71471,                0.75673,                 1.1476,                0.81888,                0.73723,                0.83836,                0.67559,                0.71907,                0.67192,                 1.1757,                0.77317,                0.77184,                 1.2127,              0.0004324,              0.0004324,              0.0004324
                    175,                0.65143,                0.67008,                 1.1206,                0.71798,                0.74861,                 1.1473,                0.80258,                0.75816,                0.84001,                0.67759,                0.71704,                0.67083,                 1.1736,                0.77088,                0.76548,                  1.208,              0.0004291,              0.0004291,              0.0004291
                    176,                0.64642,                0.65523,                 1.1157,                0.71928,                0.73221,                 1.1469,                0.80439,                0.75746,                0.84045,                0.67751,                0.71523,                0.67455,                 1.1703,                0.76836,                0.76885,                 1.2078,              0.0004258,              0.0004258,              0.0004258
                    177,                0.64618,                0.66632,                 1.1193,                0.70715,                0.73704,                 1.1463,                 0.8168,                0.74445,                0.84105,                0.67889,                0.71494,                 0.6768,                 1.1699,                0.76532,                0.77648,                 1.2046,              0.0004225,              0.0004225,              0.0004225
                    178,                0.65208,                0.67356,                 1.1165,                0.72035,                0.73882,                 1.1468,                0.81732,                0.74438,                0.83888,                0.67667,                0.71445,                0.67839,                 1.1686,                0.76849,                0.77836,                 1.2055,              0.0004192,              0.0004192,              0.0004192
                    179,                0.64634,                0.67223,                 1.1224,                0.71436,                0.74562,                 1.1518,                0.81583,                0.74474,                 0.8384,                0.67557,                0.71501,                0.67711,                 1.1693,                0.77233,                0.78117,                 1.2094,              0.0004159,              0.0004159,              0.0004159
                    180,                0.64631,                0.66554,                 1.1146,                0.70983,                0.74154,                 1.1431,                0.83437,                0.73544,                0.83802,                0.67536,                0.71716,                0.67637,                 1.1717,                0.77329,                0.78014,                 1.2118,              0.0004126,              0.0004126,              0.0004126
                    181,                0.63753,                 0.6585,                 1.1086,                0.70225,                0.74083,                 1.1347,                0.82803,                0.73971,                0.83804,                  0.675,                0.71813,                0.67306,                 1.1745,                 0.7747,                0.77643,                 1.2096,              0.0004093,              0.0004093,              0.0004093
                    182,                0.63577,                0.66424,                 1.1099,                0.70136,                0.74271,                 1.1407,                0.83248,                0.74015,                0.84014,                0.67711,                0.71846,                0.66964,                 1.1741,                0.77747,                0.76418,                 1.2134,               0.000406,               0.000406,               0.000406
                    183,                0.63371,                0.66578,                 1.1081,                0.69796,                0.74112,                 1.1364,                0.83247,                0.74391,                0.84223,                0.67838,                0.72037,                0.66669,                 1.1761,                0.77968,                0.75426,                 1.2166,              0.0004027,              0.0004027,              0.0004027
                    184,                0.64364,                0.65292,                 1.1121,                0.71737,                0.72845,                 1.1427,                0.80728,                0.76626,                0.84263,                0.67961,                0.71869,                0.66538,                 1.1759,                0.77895,                0.75585,                 1.2131,              0.0003994,              0.0003994,              0.0003994
                    185,                0.63093,                0.65242,                 1.1132,                0.69704,                0.73025,                 1.1431,                0.80122,                0.76997,                0.84346,                0.67917,                0.71776,                0.66518,                 1.1759,                0.78014,                 0.7553,                 1.2139,              0.0003961,              0.0003961,              0.0003961
                    186,                 0.6361,                0.65192,                 1.1134,                0.70352,                0.72211,                 1.1435,                0.81033,                0.77169,                0.84476,                0.68103,                0.71715,                0.66605,                 1.1762,                0.78022,                0.75152,                 1.2141,              0.0003928,              0.0003928,              0.0003928
                    187,                0.63081,                0.64681,                  1.102,                0.69485,                 0.7122,                 1.1295,                0.79758,                0.77737,                0.84528,                0.68187,                0.71536,                0.66622,                 1.1748,                0.77917,                0.75171,                  1.214,              0.0003895,              0.0003895,              0.0003895
                    188,                0.63097,                0.63469,                 1.1063,                 0.6938,                0.69974,                 1.1338,                0.78945,                0.78193,                0.84474,                0.68068,                0.71621,                0.66715,                  1.175,                0.77683,                0.76001,                 1.2128,              0.0003862,              0.0003862,              0.0003862
                    189,                 0.6396,                0.64748,                 1.1136,                0.70454,                0.72027,                 1.1433,                0.81903,                0.75526,                0.84465,                0.68069,                0.71712,                0.66685,                 1.1759,                0.77731,                0.75769,                 1.2147,              0.0003829,              0.0003829,              0.0003829
                    190,                0.63402,                0.65237,                 1.1084,                0.69755,                0.74117,                 1.1365,                0.83838,                0.74596,                0.84435,                0.68015,                0.71687,                0.66837,                 1.1748,                0.77729,                0.76229,                 1.2124,              0.0003796,              0.0003796,              0.0003796
                    191,                0.63002,                0.63767,                 1.1055,                0.69454,                0.70762,                  1.131,                0.83499,                0.74372,                0.84339,                 0.6792,                 0.7163,                0.66737,                 1.1739,                0.77968,                 0.7551,                 1.2141,              0.0003763,              0.0003763,              0.0003763
                    192,                0.63944,                0.64289,                 1.1134,                0.70565,                0.71495,                 1.1421,                0.82892,                 0.7528,                0.84452,                0.67992,                0.71574,                0.66625,                 1.1731,                 0.7817,                0.75112,                 1.2144,               0.000373,               0.000373,               0.000373
                    193,                0.62716,                0.63656,                 1.1031,                0.69281,                 0.7095,                 1.1334,                0.85701,                0.73673,                0.84367,                0.68068,                0.71632,                0.66752,                 1.1739,                0.78239,                0.75525,                 1.2157,              0.0003697,              0.0003697,              0.0003697
                    194,                0.62351,                0.63259,                 1.0976,                0.68837,                0.70746,                 1.1276,                0.84067,                0.74448,                0.84082,                0.67939,                0.71684,                0.66858,                 1.1747,                0.78038,                0.76152,                 1.2148,              0.0003664,              0.0003664,              0.0003664
                    195,                0.62465,                0.63586,                 1.1019,                0.68936,                0.70017,                 1.1303,                0.83772,                0.74288,                0.84038,                0.68006,                0.71732,                0.67008,                 1.1751,                0.78075,                0.75886,                 1.2151,              0.0003631,              0.0003631,              0.0003631
                    196,                0.62811,                0.62279,                 1.0993,                0.68984,                0.69468,                 1.1264,                0.83502,                0.74553,                0.84161,                0.67911,                0.71709,                0.67053,                 1.1751,                0.77969,                0.76266,                 1.2145,              0.0003598,              0.0003598,              0.0003598
                    197,                0.62986,                0.63139,                 1.1009,                0.69698,                0.70283,                  1.129,                0.84933,                0.73593,                0.84189,                0.67854,                0.71671,                 0.6694,                 1.1746,                0.77963,                0.76184,                 1.2148,              0.0003565,              0.0003565,              0.0003565
                    198,                0.62966,                0.63375,                 1.1047,                 0.6963,                0.70272,                 1.1344,                0.83222,                0.75001,                  0.843,                0.67914,                 0.7174,                0.66791,                  1.175,                0.77956,                0.75758,                 1.2142,              0.0003532,              0.0003532,              0.0003532
                    199,                0.62623,                0.62301,                 1.1008,                0.69308,                0.69233,                 1.1292,                0.81833,                0.76418,                0.84366,                0.67873,                0.71875,                 0.6659,                 1.1759,                0.78276,                0.75575,                 1.2141,              0.0003499,              0.0003499,              0.0003499
                    200,                0.62094,                0.61078,                 1.0975,                0.68302,                0.68695,                 1.1246,                0.81426,                0.76835,                0.84528,                0.68021,                0.71881,                0.66581,                 1.1765,                 0.7823,                0.75649,                 1.2127,              0.0003466,              0.0003466,              0.0003466
