                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.051,                 1.5013,                 1.5009,                 1.1079,                  1.711,                 1.4992,                0.53715,                0.53302,                  0.527,                0.38576,                0.96175,                 1.2713,                 1.4437,                 1.0239,                 1.4144,                 1.4733,              0.0009307,              0.0009307,              0.0009307
                     24,                 1.0377,                 1.4745,                 1.4844,                 1.0979,                 1.6682,                 1.4867,                0.48405,                0.56093,                0.52444,                0.38617,                0.93648,                 1.2811,                 1.4218,                   1.01,                 1.4282,                 1.4464,              0.0009274,              0.0009274,              0.0009274
                     25,                  1.031,                 1.4412,                 1.4813,                 1.1017,                 1.6273,                 1.4936,                0.53326,                0.56439,                0.54914,                0.40585,                0.92758,                 1.2345,                 1.4171,                0.99557,                 1.3664,                 1.4377,              0.0009241,              0.0009241,              0.0009241
                     26,                  1.009,                 1.4212,                 1.4558,                 1.0747,                  1.638,                 1.4664,                0.53165,                0.58213,                0.55808,                0.41033,                0.92216,                 1.2034,                 1.4091,                0.98073,                 1.3531,                  1.444,              0.0009208,              0.0009208,              0.0009208
                     27,                 1.0105,                 1.4205,                 1.4601,                 1.0735,                 1.6202,                  1.467,                0.54281,                0.57545,                0.57581,                0.43394,                  0.912,                 1.1814,                 1.3849,                0.97772,                 1.3049,                 1.4253,              0.0009175,              0.0009175,              0.0009175
                     28,                0.99909,                 1.3933,                 1.4542,                 1.0633,                 1.5944,                 1.4639,                0.55729,                0.59772,                0.59728,                0.44348,                0.90027,                 1.1853,                 1.3889,                0.97961,                 1.3568,                 1.4276,              0.0009142,              0.0009142,              0.0009142
                     29,                 1.0015,                 1.3848,                 1.4537,                 1.0607,                 1.5721,                 1.4537,                0.59139,                0.55912,                0.59416,                0.44629,                 0.9011,                 1.1802,                 1.3792,                0.96131,                 1.3159,                 1.4019,              0.0009109,              0.0009109,              0.0009109
                     30,                 0.9685,                 1.3678,                 1.4136,                 1.0414,                   1.56,                 1.4348,                 0.5903,                0.58368,                0.59097,                0.44215,                0.89247,                 1.2232,                  1.376,                0.96874,                   1.35,                 1.4211,              0.0009076,              0.0009076,              0.0009076
                     31,                0.97478,                  1.356,                 1.4204,                 1.0427,                 1.5495,                 1.4331,                 0.5573,                0.59923,                0.60139,                0.45565,                0.87334,                  1.129,                 1.3473,                 0.9643,                 1.2504,                 1.3871,              0.0009043,              0.0009043,              0.0009043
                     32,                 0.9751,                 1.3437,                 1.4217,                 1.0474,                 1.5362,                 1.4393,                0.60999,                0.54992,                   0.59,                0.44078,                0.88501,                 1.1245,                 1.3659,                0.96697,                 1.2939,                 1.4094,               0.000901,               0.000901,               0.000901
                     33,                0.96768,                 1.3351,                 1.4188,                 1.0414,                 1.5221,                  1.441,                0.55721,                0.58945,                0.57869,                0.43052,                0.90194,                 1.2236,                 1.3792,                0.94431,                 1.3837,                 1.3881,              0.0008977,              0.0008977,              0.0008977
                     34,                0.98221,                 1.3311,                 1.4195,                 1.0431,                 1.5158,                  1.436,                 0.5856,                  0.604,                0.60101,                0.45578,                 0.8701,                 1.1555,                 1.3505,                0.93923,                 1.2896,                 1.3828,              0.0008944,              0.0008944,              0.0008944
                     35,                0.95876,                 1.2973,                  1.402,                 1.0325,                 1.4694,                 1.4304,                0.58932,                0.61697,                0.62059,                 0.4693,                0.88085,                 1.0938,                 1.3581,                0.92963,                 1.2268,                 1.3855,              0.0008911,              0.0008911,              0.0008911
                     36,                0.95013,                 1.3008,                 1.3919,                 1.0188,                 1.4763,                 1.4073,                0.59091,                0.58752,                0.62132,                  0.468,                0.88304,                 1.1163,                 1.3527,                0.94481,                  1.281,                 1.3923,              0.0008878,              0.0008878,              0.0008878
                     37,                0.95029,                 1.2967,                 1.3974,                 1.0222,                  1.463,                 1.4234,                0.59354,                  0.628,                0.64272,                0.49039,                0.86337,                 1.0633,                 1.3301,                 0.9399,                 1.1906,                 1.3767,              0.0008845,              0.0008845,              0.0008845
